Timestamp,Event Type,Duration,Details
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:00,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
2024-11-02 23:20:01,Distraction,,Eating/Drinking
